name,year,A,A1,A2,A3,A4,B,B1,B2,B3,B4,C,C1,C2,C3,C4
深圳市,2005,2,670.0,202.87014771,0.0,202.87014771,378,1114845.22362844,184450.03158195445,30934.377810382994,153515.65144149412,544,1909394.8256955,249092.97689489953,42976.56883032099,206116.4041817545
安庆市,2005,1,6000.0,2000.0,0.0,2000.0,7,37665.98438,4443.580465180001,3408.3706419110003,1035.2098078889999,1,580.0,49.53620148,0.0,49.53620148
赣州市,2005,3,8238.0,960.0580139,0.0,960.0580139,33,35174.7999878,14734.885562450001,1402.2780332500001,13332.607643682,1,70.0,6.431499958,0.0,6.431499958
北京市,2005,1,120.0,12.08199978,6.040999889,6.040999889,169,1221520.73588049,312307.99647572206,129303.401455599,183004.595121339,553,5684258.402522383,901204.1252109527,258313.4320890459,642890.8673242696
南通市,2005,4,3550.0,2087.9990234,42.0,2045.9990234000002,209,1815942.5359343402,121454.33880446797,28155.313075715,93299.02573473996,17,50205.669891000005,25728.7488707,5571.4296268,20157.319335700002
泰安市,2005,0,0,0,0,0,11,45428.59668,5950.11695435,1489.2489204299998,4460.86785381,1,2000.0,120.8199997,84.5739975,36.24599838
佛山市,2005,0,0,0,0,0,202,444787.2085505011,81605.91710531994,6838.879747372001,74767.03782445201,31,55955.52000046,20914.501443715002,103.736036297,20810.765388134005
宁波市,2005,0,0,0,0,0,263,346550.37604360504,93601.91389200899,24909.366277683,68692.547957155,45,265662.20799827,44654.36274981801,10571.463216045999,34082.899633971
重庆市,2005,2,3166.0,461.8701782,0.0,461.8701782,30,342412.14091894997,29483.052369926,18105.683543446,11377.368730584001,24,228166.600000143,19721.80708415,6106.089772245,13615.717233836
连云港市,2005,1,38000.0,3810.306396,0.0,3810.306396,27,69380.3150029,27208.961543539997,8978.33997348,18230.62127294,3,3759.0,334.89239499999996,84.0,250.8924408
汕头市,2005,0,0,0,0,0,26,105805.0,7969.4680909,2997.8167532100006,4971.65127836,3,33000.0,3602.6759030000003,665.8200073,2936.8559569999998
滨州市,2005,1,560000.0,52760.73047,34020.57813,18740.15039,7,24680.0,4869.627647470001,2904.8957938900003,1964.731779582,1,8000.0,8000.0,4800.0,3200.0
延边朝鲜族自治州,2005,0,0,0,0,0,9,60762.400389999995,6247.67481639,3606.7948,2640.88007829,5,128.300000191,128.300000191,0.0,128.300000191
厦门市,2005,1,72.0,51.0,0.0,51.0,80,359971.25625038,67567.16904452001,12195.280925529003,55371.88816012899,56,661393.900391,58658.59226581,24183.9435443,34474.648315561004
荆州市,2005,0,0,0,0,0,3,6571.830078,2047.5413208,1562.4570313,485.08432007,0,0,0,0,0
凉山彝族自治州,2005,0,0,0,0,0,1,92864.85938,4687.680176,3281.375977,1406.303955,0,0,0,0,0
威海市,2005,3,12747.0,4882.63822208,0.0,4882.63822208,103,177533.72362787998,44184.144163469995,7118.362659797,37065.781390953984,6,5248.0,1849.0,0.0,1849.0
成都市,2005,2,3400.0,401.000913592,315.9859924,85.014898302,34,166717.7590184,25139.958058096003,8707.684071374002,16432.274473575002,58,637229.4200211471,80996.10435519798,17650.651484621998,63345.452565042
镇江市,2005,0,0,0,0,0,79,304711.55056837003,38614.15805009099,3665.4007335689994,34948.757309074004,5,12800.0,11650.0025024,375.0,11275.0025024
漳州市,2005,6,831.0,175.61000061,0.0,175.61000061,91,324221.0,50861.216223073,5391.825650432,45469.390560604,18,300330.599976,19954.423286489997,7608.41738164,12346.005990489999
朝阳市,2005,1,10.0,8.260000229,6.0,2.25999999,3,20450.0,1389.93396,125.0428009,1264.8911742999999,2,192.30000305,160.20000076,45.20000076,115.0
中山市,2005,0,0,0,0,0,156,276421.54375918204,51041.054348472,8739.523843738001,42301.53050322699,28,79926.0,18395.408976515,909.9914856,17485.417475715
营口市,2005,0,0,0,0,0,30,52130.975898763,11285.860219102,2005.7400103100001,9280.120265506,3,5510.0,922.08800503,384.53519631,537.55279346
扬州市,2005,5,625.0,470.45089722,172.45450019999998,297.99639893,49,136884.66773164,52774.971565730004,11278.277330332,41496.69447138,14,57687.0,37382.0838619,1758.23999,35623.8438719
温州市,2005,0,0,0,0,0,59,243794.6199951,34756.33631879999,5258.023615489999,29498.312760629997,13,45344.0,12265.1260071,1731.2631764,10533.862823469999
杭州市,2005,1,40.0,30.0,0.0,30.0,125,897996.60010987,101767.53334733199,23281.837964,78485.69514656099,53,521462.61921574397,91904.93472756102,5051.214877757,86853.72025240501
唐山市,2005,0,0,0,0,0,16,72670.542154119,17000.288534940002,1422.5727057240001,15577.715844776001,3,177537.0,8580.008057,4719.004516999999,3861.0036615
常州市,2005,2,2120.0,1150.866699,0.0,1150.866699,121,6190450.12821789,169711.350411517,23757.488893822,145953.86124529,13,87559.58008,29226.60398451,116.085600856,29110.518383376
石家庄市,2005,0,0,0,0,0,6,3921.80000305,1736.6793785099999,856.74760056,879.93177987,3,16150.0,1958.330977889,371.368690466,1586.96238744
哈尔滨市,2005,0,0,0,0,0,11,139146.76088441903,24591.733827361,13437.920687043,11153.812772418,11,54568.5,6966.778271909,920.009024244,6046.769400464999
宜春市,2005,0,0,0,0,0,11,211198.583191,26770.0859374,4384.216690380001,22385.8693539,3,93200.0,12357.4473454,196.0735016,12161.3738285
盘锦市,2005,0,0,0,0,0,3,4010.0,602.571991,451.92900840000004,150.64299775,2,66515.0,10595.327148,0.0,10595.327148
南昌市,2005,0,0,0,0,0,16,356925.3535923,25211.68610356,17543.93717607,7667.748696920001,11,57266.08980591,18679.23890715,4412.46562958,14266.77327566
枣庄市,2005,0,0,0,0,0,7,2635.9899901999997,1169.03099057,328.154093746,840.8768996800001,1,9600.0,4800.0,0.0,4800.0
济南市,2005,0,0,0,0,0,27,170517.580078,25339.713106160998,9918.10789047,15421.605200541002,13,102195.0,43900.30885855,774.2872009,43126.02169201
潍坊市,2005,2,820.0,695.0,0.0,695.0,38,135686.258301,30093.153273190997,9337.962200061002,20755.1912654,3,20317.139893,14040.569946,1462.5000229,12578.070403400001
焦作市,2005,0,0,0,0,0,5,177728.0,14371.717827770002,10652.806664310001,3718.91135007,3,7455.0,769.4249878,0.0,769.4249878
莆田市,2005,2,13000.0,11662.8079987,0.0,11662.8079987,21,58766.0,7461.852521259999,134.9913788,7326.861115799999,3,5138.0,985.2399902000001,166.6860046,818.5539856
肇庆市,2005,3,110.0,110.0,0.0,110.0,63,97167.68660856,41100.20215140201,5261.4992676,35838.70286850501,7,42974.5056157,18121.761307379,12446.132813,5675.628494379
郴州市,2005,0,0,0,0,0,5,609950.0,21358.182342800003,2391.7021638,18966.480286300004,0,0,0,0,0
青岛市,2005,2,176.0,160.0,0.0,160.0,230,512103.88538712,94011.48619180902,8548.788629584,85462.69763888798,75,168106.907929915,33635.832106344,12967.887556901998,20667.944526206004
上饶市,2005,2,860.0,221.65000153,46.23749924,175.41250038,9,49490.2698668,13959.5399477,2494.5830692,11464.956878500001,6,3386.05999948,2500.05999948,420.0,2080.05999948
武汉市,2005,0,0,0,0,0,41,747160.060607205,71681.55407741,20088.888520148,51592.665594315,27,677190.903541004,158321.04266052702,65733.577898153,92587.46286256998
沧州市,2005,0,0,0,0,0,22,126630.65998464,19301.458442573,6032.670736799,13268.78777456,2,31077.0,3079.190552,190.7138977,2888.476563
芜湖市,2005,0,0,0,0,0,13,143607.5,12354.84675907,2793.26371198,9561.58306248,1,8.699999809,6.199999809,0.0,6.199999809
沈阳市,2005,1,1000.0,509.8825989,387.7839966,122.0986023,52,1323724.177031702,105710.695113166,28738.48443673,76972.17341063499,41,514814.8828772,140103.80471951197,19050.679159853,121053.12558247597
清远市,2005,2,500.0,64.33999919,0.0,64.33999919,45,456818.750977,39520.715858569994,240.5039978,39280.211860769996,17,36594.0,5773.84785817,9.205900192,5764.64205526
阳江市,2005,0,0,0,0,0,13,7761533.4633026,237109.08712289,195298.99466746,41810.09253976699,3,8452.5,3983.4400024,192.3300018,3791.11000061
惠州市,2005,10,51911.0,3763.0623355000007,1696.583008,2066.47940818,176,464121.79656979995,131533.5512451451,4214.190414925,127319.36064109506,46,296071.06055,26717.037509602003,5465.160728317,21251.876879684998
海口市,2005,3,69.5,69.5,0.0,69.5,6,1599.0,197.85670183699997,99.216000318,98.64069796,9,183798.7499388,80782.01865027501,0.0,80782.01865027501
保定市,2005,0,0,0,0,0,11,4612.9399995799995,1099.260658222,468.337126691,630.923530401,0,0,0,0,0
丹东市,2005,0,0,0,0,0,18,11511.0,2890.8802142980003,998.4861467210001,1892.3940706099997,5,68417.875244,66362.514243459,0.0,66362.514243459
濮阳市,2005,0,0,0,0,0,1,50.0,6.040999889,3.020499945,3.020499945,0,0,0,0,0
喀什地区,2005,0,0,0,0,0,0,0,0,0,0,1,500.0,45.03099823,0.0,45.03099823
三明市,2005,0,0,0,0,0,6,13336.0,3044.5368042,1988.44164658,1056.09525298,2,2250.0,1682.3079987,0.0,1682.3079987
绥化市,2005,1,20.0,14.40999985,0.0,14.40999985,1,406.5599976,406.5599976,304.9200134,101.6399994,0,0,0,0,0
拉萨市,2005,0,0,0,0,0,0,0,0,0,0,6,165162.0,35797.805833795,10.538799762,35787.267034036
黄石市,2005,0,0,0,0,0,5,448350.0,22840.99930826,1169.50322364,21671.496619734,2,845.25,679.875,36.95000076,642.924999952
渭南市,2005,0,0,0,0,0,3,24860.0,1710.6788201299998,501.38410381,1209.29469836,0,0,0,0,0
菏泽市,2005,0,0,0,0,0,5,730.0,636.0,25.20000076,610.80000019,2,800.0,217.90000153,0.0,217.90000153
衢州市,2005,0,0,0,0,0,6,25292.0,9324.6440125,3773.545940891,5551.097818919,0,0,0,0,0
梅州市,2005,1,130.0,13.50619984,0.0,13.50619984,16,9736.699996899999,2012.9035730199998,36.12783813,1976.7757377499997,2,5600.0,718.03197481,0.0,718.03197481
湖州市,2005,2,192.0,140.0,0.0,140.0,79,572611.94710196,46854.496987168,6589.564645883999,40264.932347893,5,41710.0,6032.108032,324.8783875,5707.229614
南平市,2005,1,1000.0,120.8199997,0.0,120.8199997,10,13777.0,1884.28327174,459.29864697,1424.9845370900002,3,39500.0,2334.369598,1191.8448028,1142.5247954899999
盐城市,2005,0,0,0,0,0,44,68943.2800064,14973.518200998002,4677.896121332,10295.622137908,2,25.80000019,13.008200168,0.0,13.008200168
湛江市,2005,0,0,0,0,0,7,20589.0,3385.5709153,1983.25550084,1402.31535341,1,500.0,64.11000061,0.0,64.11000061
临沂市,2005,0,0,0,0,0,25,39274.10000038,13597.568810779,1058.6989750720002,12538.870082229,3,12260.0,1529.6804198999998,665.4599915,864.2203979000001
大理白族自治州,2005,1,114.0,80.0,39.20000076,40.79999924,1,14.0,11.0,0.0,11.0,1,1000.0,145.7024994,118.0194321,27.68357086
济宁市,2005,0,0,0,0,0,10,430444.7999878,28763.14442688,2749.136054122,26014.009091540003,1,10.0,7.0,7.0,0.0
邢台市,2005,0,0,0,0,0,6,56925.2400055,7510.42212327,4596.882063789,2913.539937783,1,100.0,14.25699997,8.554200172,5.702799797
金华市,2005,0,0,0,0,0,45,105586.28004456,25538.830561706,9610.455652598,15928.374815136001,5,2570.0,1157.0,220.0,937.0
九江市,2005,2,3000.0,403.5400085,124.5250015,279.01500888,6,69902.0,13146.408382599999,590.50593376,12555.902632901,3,3106.880599976,293.47738649999997,92.7654047,200.71199797000003
东莞市,2005,0,0,0,0,0,329,741345.1959068,133575.79294145002,16792.821478177,116782.97083736004,28,62120.5,15496.901079088,700.8015975599999,14796.099499171001
眉山市,2005,0,0,0,0,0,3,19125.0,3639.2559203,2097.8359983,1541.420044,0,0,0,0,0
嘉兴市,2005,1,28.0,20.0,0.0,20.0,136,630487.26666856,139139.04166576397,42569.438440638995,96569.602358879,10,9875.599976,5723.62729359,208.3999939,5515.22729969
河源市,2005,5,2932.0,993.86880497,0.0,993.86880497,29,67688.93619117001,15848.672257979999,982.9000244,14865.772294779998,9,18814.0,2452.4754459,618.6704102,1833.8050050999998
宿迁市,2005,1,60.0,6.410999775,0.0,6.410999775,8,6962.99890137,3443.9678954700003,1440.0,2003.96789547,2,190.0,150.0,0.0,150.0
黄冈市,2005,0,0,0,0,0,11,24506.0,3375.72220038,1056.718588739,2319.00372883,1,1500.0,184.9499969,0.0,184.9499969
滁州市,2005,0,0,0,0,0,6,2264.25397878,1761.49711228,291.82521061,1469.6718998,0,0,0,0,0
宣城市,2005,0,0,0,0,0,6,1248.8000031000001,789.9000015700001,96.48999977999999,693.410002669,1,200.0,200.0,0.0,200.0
昆明市,2005,3,1043.0,266.46400453,24.7723999,241.69160462999997,9,324767.0,21205.622621256003,10421.467347902002,10784.155268200002,12,57775.48129999701,5298.396328088999,36.61840057,5261.777931328999
徐州市,2005,0,0,0,0,0,25,168985.6484,37849.996634339004,16279.115008257,21570.881341235,1,142.0,100.0,0.0,100.0
郑州市,2005,1,630.0,318.0,0.0,318.0,19,73232.0,18767.823660699996,3877.708926029,14890.114637114999,10,108263.194519,8384.48229618,1259.72251902,7124.759875219999
长沙市,2005,0,0,0,0,0,13,51921.0,8731.06101957,2616.559414536,6114.501480091,8,574144.52734,62012.208183890994,28179.753292391,33832.45513692101
日照市,2005,0,0,0,0,0,10,1746919.75,88164.87041614001,9856.575987,78308.292442746,2,15619.0,2860.4000244,123.3000031,2737.0999756
宜昌市,2005,0,0,0,0,0,6,5798.0,745.59819608,84.55999756,661.03819466,0,0,0,0,0
南阳市,2005,0,0,0,0,0,6,149116.0,9485.19973612,5704.64832457,3780.55158665,0,0,0,0,0
长春市,2005,0,0,0,0,0,26,355622.76778066496,44795.218343635,21855.099101997996,22940.119303227995,9,163120.660000086,5899.877186096,937.7986002,4962.078585906
铜陵市,2005,0,0,0,0,0,4,161805.0,11806.20874,6389.854064499999,5416.3551635,1,1570.0,135.6300049,101.7225037,33.90750122
舟山市,2005,1,63.84000015,63.84000015,0.0,63.84000015,8,181508.61002690002,11483.82831699,7143.52708833,4340.301271249999,3,55350.0,9432.319946,5289.120117,4143.199829
鞍山市,2005,0,0,0,0,0,9,26014.0,3031.06699001,1728.03629319,1303.03070075,2,1542.0,1461.9033203,300.0,1161.9033203
绍兴市,2005,1,380.0,380.0,193.8000031,186.1999969,115,366746.57246461,87995.03372152902,49546.400744958,38448.634883385006,5,34823.0,5780.0429084,3387.227417,2392.8154601
株洲市,2005,0,0,0,0,0,6,124620.6641,21340.136509660002,11095.92639767,10244.21011494,1,4500.0,271.8450012,190.2915039,81.55349731
西宁市,2005,0,0,0,0,0,3,720620.0,38317.81084258,28682.47176042,9635.34006411,1,1000.0,600.0,0.0,600.0
呼和浩特市,2005,0,0,0,0,0,4,73325.0,10713.089646,1147.080813322,9566.0088345,6,11135.0,934.807320418,189.76519771,745.042107418
岳阳市,2005,0,0,0,0,0,5,28693.08789,2184.89523286,1023.64094537,1161.2543258599999,0,0,0,0,0
新乡市,2005,0,0,0,0,0,8,68403.7000122,8729.88116026,5970.0222481,2759.8588409500003,1,400.0,400.0,200.0,200.0
牡丹江市,2005,1,57.0,40.0,0.0,40.0,8,128194.0,13031.046469562,3250.3779905,9780.668540562001,0,0,0,0,0
合肥市,2005,0,0,0,0,0,11,44746.20000076,6647.601812992,4130.094800121,2517.507021228,13,69347.0,9978.773585805,1575.50698851,8403.266581545002
阜新市,2005,0,0,0,0,0,4,906.0,246.03820037999998,27.18449974,218.85369873000002,0,0,0,0,0
淮安市,2005,0,0,0,0,0,17,33376.84999847,8040.0535276,3498.6300217750004,4541.42355926,1,270.0,32.25999832,0.0,32.25999832
抚州市,2005,1,780.0,70.66200256,0.0,70.66200256,4,3200.0,275.29759412,18.86490059,256.43269162,0,0,0,0,0
商丘市,2005,0,0,0,0,0,4,20380.0,3954.4019893100003,1216.267822,2738.13428831,1,316.0,184.8600006,0.0,184.8600006
德阳市,2005,1,6.659999847,6.659999847,0.0,6.659999847,8,39835.0,7034.45198776,1477.3604924800002,5557.09149147,0,0,0,0,0
荆门市,2005,0,0,0,0,0,3,56100.0,5388.5630495,3424.2740023,1964.2888184,1,21.37000084,21.37000084,14.10420036,7.265799999
咸阳市,2005,0,0,0,0,0,6,189985.30664,11003.608695500001,3793.37346249,7210.23522158,1,1227.0,500.0,0.0,500.0
汕尾市,2005,2,1700.0,227.09400176000003,51.2879982,175.80599976,15,36539.0,4803.0030212699985,941.42274475,3861.5802764699997,2,7400.0,7080.0,0.0,7080.0
聊城市,2005,0,0,0,0,0,7,38590.678313000004,6592.82740037,2231.199951,4361.62738817,0,0,0,0,0
通化市,2005,0,0,0,0,0,1,10.0,10.0,0.0,10.0,0,0,0,0,0
宝鸡市,2005,0,0,0,0,0,5,143179.56499968,7744.50954734,4609.37330805,3135.13648047,0,0,0,0,0
泰州市,2005,1,9.0,7.0,0.0,7.0,43,295411.41574836,38163.616054918995,5691.923914866,32471.692214632,5,23104.2399902,5396.8901058,1373.5418702,4023.3481752
巴音郭楞蒙古自治州,2005,0,0,0,0,0,1,14098.0,1624.241455,144.9954071,1479.245972,0,0,0,0,0
吉林市,2005,0,0,0,0,0,4,303400.0,35413.5777999,33552.1200275,1861.4577832,0,0,0,0,0
昭通市,2005,0,0,0,0,0,1,60.0,60.0,39.0,21.0,0,0,0,0,0
淄博市,2005,0,0,0,0,0,16,377180.76016038,36132.25814478001,5718.78666702,30413.471457250005,4,24660.0,16980.0,180.0,16800.0
新余市,2005,1,60.0,42.0,0.0,42.0,2,45800.0,2691.76001,300.0,2391.76001,0,0,0,0,0
西安市,2005,0,0,0,0,0,16,85622.61719,8595.968312119001,4611.363139536,3984.605072888,16,165441.85938,20409.547729180005,4153.882045251999,16255.6657429
昌吉市,2005,0,0,0,0,0,2,29610.0,10075.0,0.0,10075.0,0,0,0,0,0
